Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
8,onld-local,28,100,79,88.79
8,onld-hadd,28,104,74,101.17
8,hadd,30,66,117,102.0
8,hmax,38,229,2719,96.7
8,hlm-count,42,1351,37286,757.59
12,onld-local,75,533,1606,408.6
12,onld-hadd,75,701,1606,352.89
12,hadd,76,513,2437,129.89
12,hmax,T/O,T/O,T/O,1242.13
12,hlm-count,T/O,T/O,T/O,3755.53
16,onld-local,138,2292,10708,1433.61
16,onld-hadd,T/O,T/O,T/O,1916.29
16,hadd,137,6786,49330,881.56
16,hmax,T/O,T/O,T/O,1028.52
16,hlm-count,T/O,T/O,T/O,3940.91
20,onld-local,T/O,T/O,T/O,3419.31
20,onld-hadd,T/O,T/O,T/O,878.05
20,hadd,T/O,T/O,T/O,1096.97
20,hmax,T/O,T/O,T/O,994.73
20,hlm-count,T/O,T/O,T/O,3999.89
24,onld-local,T/O,T/O,T/O,3576.46
24,onld-hadd,T/O,T/O,T/O,800.14
24,hadd,T/O,T/O,T/O,979.22
24,hmax,T/O,T/O,T/O,950.71
24,hlm-count,T/O,T/O,T/O,3675.04
28,onld-local,T/O,T/O,T/O,2843.42
28,onld-hadd,T/O,T/O,T/O,805.37
28,hadd,T/O,T/O,T/O,1129.02
28,hmax,T/O,T/O,T/O,976.23
28,hlm-count,T/O,T/O,T/O,3677.1
