Domain,Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,onld-local,75,466,1606,434.51
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,onld-hadd,75,572,1606,421.21
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,hadd,76,316,2437,142.36
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,hmax,96,119341,2165506,9407.26
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,hlm-count,T/O,T/O,T/O,21021.77
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,onld-local,138,2412,10708,1349.93
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,onld-hadd,166,10957,25685,1948.9
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,hadd,137,7463,49330,948.26
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,hmax,T/O,T/O,T/O,21018.03
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,hlm-count,T/O,T/O,T/O,21010.28
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,onld-local,1,8,2,70.78
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,onld-hadd,1,8,2,69.82
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,hadd,1,5,2,66.55
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,hmax,1,5,2,66.11
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,hlm-count,1,8,2,70.79
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_20.pddl,onld-local,233,41764,180976,7212.48
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_20.pddl,onld-hadd,T/O,T/O,T/O,7873.25
