Domain,Instance,Heuristic,Plan_Length,Search_Time_ms,Expanded_Nodes,Max_RAM_MB,h_initial,States_Evaluated,Heuristic_Time_ms
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,onld-local,71,303,1121,388.2,65.0,17732,248
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,onld-hadd,71,418,1121,359.34,56.045,17732,355
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,hlm-count,T/O,T/O,T/O,21009.2,11.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,hlm-count-filtered,T/O,T/O,T/O,21007.02,11.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,hadd,76,236,2437,121.09,11.0,37354,170
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_12.pddl,hmax,96,92198,2165506,9448.96,1.0,17588244,61694
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,onld-local,143,2154,13038,1238.02,69.0,285199,1808
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,onld-hadd,143,3985,13038,1177.72,57.042,285199,3666
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,hlm-count,T/O,T/O,T/O,20984.21,15.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,hlm-count-filtered,T/O,T/O,T/O,21019.85,15.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,hadd,137,5533,49330,950.73,15.0,989143,4476
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_16.pddl,hmax,T/O,T/O,T/O,20993.29,1.0,T/O,T/O
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,onld-local,1,7,2,56.12,1.0,3,5
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,onld-hadd,1,7,2,56.03,1.0,3,5
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,hlm-count,1,6,2,55.85,1.0,3,4
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,hlm-count-filtered,1,4,2,56.16,1.0,3,2
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,hadd,1,6,2,56.11,1.0,3,1
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_2.pddl,hmax,1,4,2,55.92,1.0,3,2
examples/pddl2_1/counters/domain.pddl,examples/pddl2_1/counters/instance_20.pddl,onld-local,202,5964,24157,3685.07,95.0,712732,5158
